
==================================================================
TEST QUERY: SELECT * FROM huge_users JOIN huge_transactions ON huge_users.id = huge_transactions.user_id
------------------------------------------------------------------
Optimizer is processing heuristics and DP...

OPTIMAL PHYSICAL PLAN (Tree):

JOIN SEQUENCE (Order of Operations):
  Join 1: [huge_transactions] X [huge_users] ON huge_transactions.user_id = huge_users.id (MergeJoin)

Estimated Cost: 3000
Resulting Tuple Size: 500000
Best Algorithm Selected: Merge

--- EXECUTION ENGINE RESULTS ---
huge_transactions.amount	huge_transactions.tx_id	huge_transactions.user_id	huge_users.id	huge_users.region	
11	1	2	2	Region2	
12	2	3	3	Region3	
13	3	4	4	Region4	
14	4	5	5	Region5	
15	5	6	6	Region6	
16	6	7	7	Region7	
17	7	8	8	Region8	
18	8	9	9	Region9	
19	9	10	10	Region10	
20	10	11	11	Region11	
21	11	12	12	Region12	
22	12	13	13	Region13	
23	13	14	14	Region14	
24	14	15	15	Region15	
25	15	16	16	Region16	
26	16	17	17	Region17	
27	17	18	18	Region18	
28	18	19	19	Region19	
29	19	20	20	Region20	
30	20	21	21	Region21	
31	21	22	22	Region22	
32	22	23	23	Region23	
33	23	24	24	Region24	
34	24	25	25	Region25	
35	25	26	26	Region26	
36	26	27	27	Region27	
37	27	28	28	Region28	
38	28	29	29	Region29	
39	29	30	30	Region30	
40	30	31	31	Region31	
41	31	32	32	Region32	
42	32	33	33	Region33	
43	33	34	34	Region34	
44	34	35	35	Region35	
45	35	36	36	Region36	
46	36	37	37	Region37	
47	37	38	38	Region38	
48	38	39	39	Region39	
49	39	40	40	Region40	
50	40	41	41	Region41	
51	41	42	42	Region42	
52	42	43	43	Region43	
53	43	44	44	Region44	
54	44	45	45	Region45	
55	45	46	46	Region46	
56	46	47	47	Region47	
57	47	48	48	Region48	
58	48	49	49	Region49	
59	49	50	50	Region0	
60	50	51	51	Region1	
61	51	52	52	Region2	
62	52	53	53	Region3	
63	53	54	54	Region4	
64	54	55	55	Region5	
65	55	56	56	Region6	
66	56	57	57	Region7	
67	57	58	58	Region8	
68	58	59	59	Region9	
69	59	60	60	Region10	
70	60	61	61	Region11	
71	61	62	62	Region12	
72	62	63	63	Region13	
73	63	64	64	Region14	
74	64	65	65	Region15	
75	65	66	66	Region16	
76	66	67	67	Region17	
77	67	68	68	Region18	
78	68	69	69	Region19	
79	69	70	70	Region20	
80	70	71	71	Region21	
81	71	72	72	Region22	
82	72	73	73	Region23	
83	73	74	74	Region24	
84	74	75	75	Region25	
85	75	76	76	Region26	
86	76	77	77	Region27	
87	77	78	78	Region28	
88	78	79	79	Region29	
89	79	80	80	Region30	
90	80	81	81	Region31	
91	81	82	82	Region32	
92	82	83	83	Region33	
93	83	84	84	Region34	
94	84	85	85	Region35	
95	85	86	86	Region36	
96	86	87	87	Region37	
97	87	88	88	Region38	
98	88	89	89	Region39	
99	89	90	90	Region40	
100	90	91	91	Region41	
101	91	92	92	Region42	
102	92	93	93	Region43	
103	93	94	94	Region44	
104	94	95	95	Region45	
105	95	96	96	Region46	
106	96	97	97	Region47	
107	97	98	98	Region48	
108	98	99	99	Region49	
109	99	100	100	Region0	
110	100	101	101	Region1	
111	101	102	102	Region2	
112	102	103	103	Region3	
113	103	104	104	Region4	
114	104	105	105	Region5	
115	105	106	106	Region6	
116	106	107	107	Region7	
117	107	108	108	Region8	
118	108	109	109	Region9	
119	109	110	110	Region10	
120	110	111	111	Region11	
121	111	112	112	Region12	
122	112	113	113	Region13	
123	113	114	114	Region14	
124	114	115	115	Region15	
125	115	116	116	Region16	
126	116	117	117	Region17	
127	117	118	118	Region18	
128	118	119	119	Region19	
129	119	120	120	Region20	
130	120	121	121	Region21	
131	121	122	122	Region22	
132	122	123	123	Region23	
133	123	124	124	Region24	
134	124	125	125	Region25	
135	125	126	126	Region26	
136	126	127	127	Region27	
137	127	128	128	Region28	
138	128	129	129	Region29	
139	129	130	130	Region30	
140	130	131	131	Region31	
141	131	132	132	Region32	
142	132	133	133	Region33	
143	133	134	134	Region34	
144	134	135	135	Region35	
145	135	136	136	Region36	
146	136	137	137	Region37	
147	137	138	138	Region38	
148	138	139	139	Region39	
149	139	140	140	Region40	
150	140	141	141	Region41	
151	141	142	142	Region42	
152	142	143	143	Region43	
153	143	144	144	Region44	
154	144	145	145	Region45	
155	145	146	146	Region46	
156	146	147	147	Region47	
157	147	148	148	Region48	
158	148	149	149	Region49	
159	149	150	150	Region0	
160	150	151	151	Region1	
161	151	152	152	Region2	
162	152	153	153	Region3	
163	153	154	154	Region4	
164	154	155	155	Region5	
165	155	156	156	Region6	
166	156	157	157	Region7	
167	157	158	158	Region8	
168	158	159	159	Region9	
169	159	160	160	Region10	
170	160	161	161	Region11	
171	161	162	162	Region12	
172	162	163	163	Region13	
173	163	164	164	Region14	
174	164	165	165	Region15	
175	165	166	166	Region16	
176	166	167	167	Region17	
177	167	168	168	Region18	
178	168	169	169	Region19	
179	169	170	170	Region20	
180	170	171	171	Region21	
181	171	172	172	Region22	
182	172	173	173	Region23	
183	173	174	174	Region24	
184	174	175	175	Region25	
185	175	176	176	Region26	
186	176	177	177	Region27	
187	177	178	178	Region28	
188	178	179	179	Region29	
189	179	180	180	Region30	
190	180	181	181	Region31	
191	181	182	182	Region32	
192	182	183	183	Region33	
193	183	184	184	Region34	
194	184	185	185	Region35	
195	185	186	186	Region36	
196	186	187	187	Region37	
197	187	188	188	Region38	
198	188	189	189	Region39	
199	189	190	190	Region40	
200	190	191	191	Region41	
201	191	192	192	Region42	
202	192	193	193	Region43	
203	193	194	194	Region44	
204	194	195	195	Region45	
205	195	196	196	Region46	
206	196	197	197	Region47	
207	197	198	198	Region48	
208	198	199	199	Region49	
209	199	200	200	Region0	
210	200	201	201	Region1	
211	201	202	202	Region2	
212	202	203	203	Region3	
213	203	204	204	Region4	
214	204	205	205	Region5	
215	205	206	206	Region6	
216	206	207	207	Region7	
217	207	208	208	Region8	
218	208	209	209	Region9	
219	209	210	210	Region10	
220	210	211	211	Region11	
221	211	212	212	Region12	
222	212	213	213	Region13	
223	213	214	214	Region14	
