
==================================================================
TEST QUERY: SELECT * FROM grades
------------------------------------------------------------------
Optimizer is processing heuristics and DP...

OPTIMAL PHYSICAL PLAN (Tree):

JOIN SEQUENCE (Order of Operations):

Estimated Cost: 0
Resulting Tuple Size: 500
Best Algorithm Selected: SCAN

--- EXECUTION ENGINE RESULTS ---
grades.course	grades.grade	grades.student_id	
CS1	61	2	
CS2	62	3	
CS3	63	4	
CS4	64	5	
CS5	65	6	
CS6	66	7	
CS7	67	8	
CS8	68	9	
CS9	69	10	
CS0	70	11	
CS1	71	12	
CS2	72	13	
CS3	73	14	
CS4	74	15	
CS5	75	16	
CS6	76	17	
CS7	77	18	
CS8	78	19	
CS9	79	20	
CS0	80	21	
CS1	81	22	
CS2	82	23	
CS3	83	24	
CS4	84	25	
CS5	85	26	
CS6	86	27	
CS7	87	28	
CS8	88	29	
CS9	89	30	
CS0	90	31	
CS1	91	32	
CS2	92	33	
CS3	93	34	
CS4	94	35	
CS5	95	36	
CS6	96	37	
CS7	97	38	
CS8	98	39	
CS9	99	40	
CS0	100	41	
CS1	60	42	
CS2	61	43	
CS3	62	44	
CS4	63	45	
CS5	64	46	
CS6	65	47	
CS7	66	48	
CS8	67	49	
CS9	68	50	
CS0	69	51	
CS1	70	52	
CS2	71	53	
CS3	72	54	
CS4	73	55	
CS5	74	56	
CS6	75	57	
CS7	76	58	
CS8	77	59	
CS9	78	60	
CS0	79	61	
CS1	80	62	
CS2	81	63	
CS3	82	64	
CS4	83	65	
CS5	84	66	
CS6	85	67	
CS7	86	68	
CS8	87	69	
CS9	88	70	
CS0	89	71	
CS1	90	72	
CS2	91	73	
CS3	92	74	
CS4	93	75	
CS5	94	76	
CS6	95	77	
CS7	96	78	
CS8	97	79	
CS9	98	80	
CS0	99	81	
CS1	100	82	
CS2	60	83	
CS3	61	84	
CS4	62	85	
CS5	63	86	
CS6	64	87	
CS7	65	88	
CS8	66	89	
CS9	67	90	
CS0	68	91	
CS1	69	92	
CS2	70	93	
CS3	71	94	
CS4	72	95	
CS5	73	96	
CS6	74	97	
CS7	75	98	
CS8	76	99	
CS9	77	100	
CS0	78	1	
CS1	79	2	
CS2	80	3	
CS3	81	4	
CS4	82	5	
CS5	83	6	
CS6	84	7	
CS7	85	8	
CS8	86	9	
CS9	87	10	
CS0	88	11	
CS1	89	12	
CS2	90	13	
CS3	91	14	
CS4	92	15	
CS5	93	16	
CS6	94	17	
CS7	95	18	
CS8	96	19	
CS9	97	20	
CS0	98	21	
CS1	99	22	
CS2	100	23	
CS3	60	24	
CS4	61	25	
CS5	62	26	
CS6	63	27	
CS7	64	28	
CS8	65	29	
CS9	66	30	
CS0	67	31	
CS1	68	32	
CS2	69	33	
CS3	70	34	
CS4	71	35	
CS5	72	36	
CS6	73	37	
CS7	74	38	
CS8	75	39	
CS9	76	40	
CS0	77	41	
CS1	78	42	
CS2	79	43	
CS3	80	44	
CS4	81	45	
CS5	82	46	
CS6	83	47	
CS7	84	48	
CS8	85	49	
CS9	86	50	
CS0	87	51	
CS1	88	52	
CS2	89	53	
CS3	90	54	
CS4	91	55	
CS5	92	56	
CS6	93	57	
CS7	94	58	
CS8	95	59	
CS9	96	60	
CS0	97	61	
CS1	98	62	
CS2	99	63	
CS3	100	64	
CS4	60	65	
CS5	61	66	
CS6	62	67	
CS7	63	68	
CS8	64	69	
CS9	65	70	
CS0	66	71	
CS1	67	72	
CS2	68	73	
CS3	69	74	
CS4	70	75	
CS5	71	76	
CS6	72	77	
CS7	73	78	
CS8	74	79	
CS9	75	80	
CS0	76	81	
CS1	77	82	
CS2	78	83	
CS3	79	84	
CS4	80	85	
CS5	81	86	
CS6	82	87	
CS7	83	88	
CS8	84	89	
CS9	85	90	
CS0	86	91	
CS1	87	92	
CS2	88	93	
CS3	89	94	
CS4	90	95	
CS5	91	96	
CS6	92	97	
CS7	93	98	
CS8	94	99	
CS9	95	100	
CS0	96	1	
CS1	97	2	
CS2	98	3	
CS3	99	4	
CS4	100	5	
CS5	60	6	
CS6	61	7	
CS7	62	8	
CS8	63	9	
CS9	64	10	
CS0	65	11	
CS1	66	12	
CS2	67	13	
CS3	68	14	
CS4	69	15	
CS5	70	16	
CS6	71	17	
CS7	72	18	
CS8	73	19	
CS9	74	20	
CS0	75	21	
CS1	76	22	
CS2	77	23	
CS3	78	24	
CS4	79	25	
CS5	80	26	
CS6	81	27	
CS7	82	28	
CS8	83	29	
CS9	84	30	
CS0	85	31	
CS1	86	32	
CS2	87	33	
CS3	88	34	
CS4	89	35	
CS5	90	36	
CS6	91	37	
CS7	92	38	
CS8	93	39	
CS9	94	40	
CS0	95	41	
CS1	96	42	
CS2	97	43	
CS3	98	44	
CS4	99	45	
CS5	100	46	
CS6	60	47	
CS7	61	48	
CS8	62	49	
CS9	63	50	
CS0	64	51	
CS1	65	52	
CS2	66	53	
CS3	67	54	
CS4	68	55	
CS5	69	56	
CS6	70	57	
CS7	71	58	
CS8	72	59	
CS9	73	60	
CS0	74	61	
CS1	75	62	
CS2	76	63	
CS3	77	64	
CS4	78	65	
CS5	79	66	
CS6	80	67	
CS7	81	68	
CS8	82	69	
CS9	83	70	
CS0	84	71	
CS1	85	72	
CS2	86	73	
CS3	87	74	
CS4	88	75	
CS5	89	76	
CS6	90	77	
CS7	91	78	
CS8	92	79	
CS9	93	80	
CS0	94	81	
CS1	95	82	
CS2	96	83	
CS3	97	84	
CS4	98	85	
CS5	99	86	
CS6	100	87	
CS7	60	88	
CS8	61	89	
CS9	62	90	
CS0	63	91	
CS1	64	92	
CS2	65	93	
CS3	66	94	
CS4	67	95	
CS5	68	96	
CS6	69	97	
CS7	70	98	
CS8	71	99	
CS9	72	100	
CS0	73	1	
CS1	74	2	
CS2	75	3	
CS3	76	4	
CS4	77	5	
CS5	78	6	
CS6	79	7	
CS7	80	8	
CS8	81	9	
CS9	82	10	
CS0	83	11	
CS1	84	12	
CS2	85	13	
CS3	86	14	
CS4	87	15	
CS5	88	16	
CS6	89	17	
CS7	90	18	
CS8	91	19	
CS9	92	20	
CS0	93	21	
CS1	94	22	
CS2	95	23	
CS3	96	24	
CS4	97	25	
CS5	98	26	
CS6	99	27	
CS7	100	28	
CS8	60	29	
CS9	61	30	
CS0	62	31	
CS1	63	32	
CS2	64	33	
CS3	65	34	
CS4	66	35	
CS5	67	36	
CS6	68	37	
CS7	69	38	
CS8	70	39	
CS9	71	40	
CS0	72	41	
CS1	73	42	
CS2	74	43	
CS3	75	44	
CS4	76	45	
CS5	77	46	
CS6	78	47	
CS7	79	48	
CS8	80	49	
CS9	81	50	
CS0	82	51	
CS1	83	52	
CS2	84	53	
CS3	85	54	
CS4	86	55	
CS5	87	56	
CS6	88	57	
CS7	89	58	
CS8	90	59	
CS9	91	60	
CS0	92	61	
CS1	93	62	
CS2	94	63	
CS3	95	64	
CS4	96	65	
CS5	97	66	
CS6	98	67	
CS7	99	68	
CS8	100	69	
CS9	60	70	
CS0	61	71	
CS1	62	72	
CS2	63	73	
CS3	64	74	
CS4	65	75	
CS5	66	76	
CS6	67	77	
CS7	68	78	
CS8	69	79	
CS9	70	80	
CS0	71	81	
CS1	72	82	
CS2	73	83	
CS3	74	84	
CS4	75	85	
CS5	76	86	
CS6	77	87	
CS7	78	88	
CS8	79	89	
CS9	80	90	
CS0	81	91	
CS1	82	92	
CS2	83	93	
CS3	84	94	
CS4	85	95	
CS5	86	96	
CS6	87	97	
CS7	88	98	
CS8	89	99	
CS9	90	100	
CS0	91	1	
CS1	92	2	
CS2	93	3	
CS3	94	4	
CS4	95	5	
CS5	96	6	
CS6	97	7	
CS7	98	8	
CS8	99	9	
CS9	100	10	
CS0	60	11	
CS1	61	12	
CS2	62	13	
CS3	63	14	
CS4	64	15	
CS5	65	16	
CS6	66	17	
CS7	67	18	
CS8	68	19	
CS9	69	20	
CS0	70	21	
CS1	71	22	
CS2	72	23	
CS3	73	24	
CS4	74	25	
CS5	75	26	
CS6	76	27	
CS7	77	28	
CS8	78	29	
CS9	79	30	
CS0	80	31	
CS1	81	32	
CS2	82	33	
CS3	83	34	
CS4	84	35	
CS5	85	36	
CS6	86	37	
CS7	87	38	
CS8	88	39	
CS9	89	40	
CS0	90	41	
CS1	91	42	
CS2	92	43	
CS3	93	44	
CS4	94	45	
CS5	95	46	
CS6	96	47	
CS7	97	48	
CS8	98	49	
CS9	99	50	
CS0	100	51	
CS1	60	52	
CS2	61	53	
CS3	62	54	
CS4	63	55	
CS5	64	56	
CS6	65	57	
CS7	66	58	
CS8	67	59	
CS9	68	60	
CS0	69	61	
CS1	70	62	
CS2	71	63	
CS3	72	64	
CS4	73	65	
CS5	74	66	
CS6	75	67	
CS7	76	68	
CS8	77	69	
CS9	78	70	
CS0	79	71	
CS1	80	72	
CS2	81	73	
CS3	82	74	
CS4	83	75	
CS5	84	76	
CS6	85	77	
CS7	86	78	
CS8	87	79	
CS9	88	80	
CS0	89	81	
CS1	90	82	
CS2	91	83	
CS3	92	84	
CS4	93	85	
CS5	94	86	
CS6	95	87	
CS7	96	88	
CS8	97	89	
CS9	98	90	
CS0	99	91	
CS1	100	92	
CS2	60	93	
CS3	61	94	
CS4	62	95	
CS5	63	96	
CS6	64	97	
CS7	65	98	
CS8	66	99	
CS9	67	100	
CS0	68	1	
500 row(s) returned.
-------------------------------
